★ Stiletto Knife | Doppler (Factory New),240
★ Karambit | Gamma Doppler (Factory New),600
★ Karambit | Lore (Field-Tested),400
★ StatTrak™ Karambit | Lore (Field-Tested),441
★ M9 Bayonet | Lore (Field-Tested),462
★ M9 Bayonet | Lore (Field-Tested),438
★ Karambit | Autotronic (Field-Tested),442
★ M9 Bayonet | Damascus Steel (Field-Tested),193
★ Skeleton Knife | Slaughter (Minimal Wear),570
★ Skeleton Knife | Slaughter (Minimal Wear),520
★ Karambit | Forest DDPAT (Field-Tested),193
★ Bayonet | Freehand (Field-Tested),168
★ Karambit | Urban Masked (Field-Tested),193
★ Karambit | Boreal Forest (Field-Tested),195
★ Talon Knife | Damascus Steel (Minimal Wear),210
★ Bayonet | Black Laminate (Minimal Wear),210
★ Talon Knife | Stained (Minimal Wear),190
★ Talon Knife | Blue Steel (Minimal Wear),220
★ StatTrak™ M9 Bayonet | Stained (Minimal Wear),199
★ Karambit | Scorched (Minimal Wear),177
★ Skeleton Knife | Urban Masked (Field-Tested),182
★ Skeleton Knife | Forest DDPAT (Minimal Wear),194
AWP | Containment Breach (Field-Tested),45
★ Talon Knife | Marble Fade (Factory New),550
★ Huntsman Knife | Marble Fade (Factory New),200